"United Arab Emirates March 29, 2020"
,Grocery & pharmacy,-48%,Sun Feb 16,Sun Mar 29
,Parks,-57%,Sun Feb 16,Sun Mar 29
,Transit stations,-88%,Sun Feb 16,Sun Mar 29
,Workplaces,-40%,Sun Feb 16,Sun Mar 29
,Residential,+19%,Sun Feb 16,Sun Mar 29
"Czechia March 29, 2020"
,Retail & recreation,-73%,Sun Feb 16,Sun Mar 29
,Grocery & pharmacy,-26%,Sun Feb 16,Sun Mar 29
,Parks,-24%,Sun Feb 16,Sun Mar 29
,Transit stations,-61%,Sun Feb 16,Sun Mar 29
,Workplaces,-31%,Sun Feb 16,Sun Mar 29
,Residential,+11%,Sun Feb 16,Sun Mar 29
"Germany March 29, 2020"
,Retail & recreation,-77%,Sun Feb 16,Sun Mar 29
,Grocery & pharmacy,-51%,Sun Feb 16,Sun Mar 29
,Parks,-49%,Sun Feb 16,Sun Mar 29
,Transit stations,-68%,Sun Feb 16,Sun Mar 29
,Workplaces,-39%,Sun Feb 16,Sun Mar 29
,Residential,+11%,Sun Feb 16,Sun Mar 29
"Denmark March 29, 2020"
,Retail & recreation,-37%,Sun Feb 16,Sun Mar 29
,Grocery & pharmacy,-22%,Sun Feb 16,Sun Mar 29
,Parks,+35%,Sun Feb 16,Sun Mar 29
,Transit stations,-60%,Sun Feb 16,Sun Mar 29
,Workplaces,-28%,Sun Feb 16,Sun Mar 29
,Residential,+9%,Sun Feb 16,Sun Mar 29
"Dominican Republic March 29, 2020"
,Retail & recreation,-80%,Sun Feb 16,Sun Mar 29
,Grocery & pharmacy,-63%,Sun Feb 16,Sun Mar 29
,Parks,-73%,Sun Feb 16,Sun Mar 29
,Transit stations,-84%,Sun Feb 16,Sun Mar 29
,Workplaces,-56%,Sun Feb 16,Sun Mar 29
,Residential,+23%,Sun Feb 16,Sun Mar 29
"Ecuador March 29, 2020"
,Retail & recreation,-84%,Sun Feb 16,Sun Mar 29
,Grocery & pharmacy,-66%,Sun Feb 16,Sun Mar 29
,Parks,-80%,Sun Feb 16,Sun Mar 29
,Transit stations,-80%,Sun Feb 16,Sun Mar 29
,Workplaces,-61%,Sun Feb 16,Sun Mar 29
,Residential,+26%,Sun Feb 16,Sun Mar 29
"Estonia March 29, 2020"
,Retail & recreation,-60%,Sun Feb 16,Sun Mar 29
,Grocery & pharmacy,-28%,Sun Feb 16,Sun Mar 29
,Parks,+4%,Sun Feb 16,Sun Mar 29
,Transit stations,-51%,Sun Feb 16,Sun Mar 29
,Workplaces,-32%,Sun Feb 16,Sun Mar 29
,Residential,+10%,Sun Feb 16,Sun Mar 29
"Egypt March 29, 2020"
,Retail & recreation,-50%,Sun Feb 16,Sun Mar 29
,Grocery & pharmacy,-24%,Sun Feb 16,Sun Mar 29
,Parks,-40%,Sun Feb 16,Sun Mar 29
,Transit stations,-52%,Sun Feb 16,Sun Mar 29
,Workplaces,-35%,Sun Feb 16,Sun Mar 29
,Residential,+15%,Sun Feb 16,Sun Mar 29
"Spain March 29, 2020"
