GHG reduction( Mt CO2eq ),Scenario 1,Scenario 2,Scenario 3,Scenario 4,Scenario 5,Scenario 6,Scenario 7,Scenario 8,Scenario 9,Scenario 10,Scenario 11,Scenario 12,Scenario 13,Scenario 14,Scenario 15,Scenario 16,Scenario 17,Scenario 18,Scenario 19,Scenario 20,Scenario 21,Scenario 22,Scenario 23,Scenario 24
Spain,2.587166e+01,2.228289e+01,2.131345e+01,1.753105e+01,1.440668e+01,1.440718e+01,1.663904e+01,1.296127e+01,9.289449e+00,9.365623e+00,3.313201e+01,1.807689e+01,2.589142e+01,2.229211e+01,2.135003e+01,1.755039e+01,1.441665e+01,1.441709e+01,1.665244e+01,1.297192e+01,9.297078e+00,9.366023e+00,3.315990e+01,1.808653e+01
UK,4.588443e+01,3.566099e+01,4.110152e+01,2.963632e+01,2.820783e+01,2.820818e+01,3.254583e+01,2.236748e+01,1.340286e+01,1.429442e+01,6.414244e+01,3.769425e+01,4.593422e+01,3.570205e+01,4.116514e+01,2.968597e+01,2.824537e+01,2.824570e+01,3.258568e+01,2.240575e+01,1.343912e+01,1.432759e+01,6.419718e+01,3.773238e+01
Scandinavia,5.469984e+00,5.244214e+00,5.432811e+00,5.050068e+00,5.093605e+00,5.093903e+00,1.056664e+01,7.542935e+00,4.669318e+00,7.457701e+00,1.136979e+01,1.035494e+01,5.872166e+00,5.494586e+00,5.971482e+00,5.335962e+00,5.489329e+00,5.489612e+00,1.081939e+01,7.785976e+00,4.901189e+00,7.649354e+00,1.177205e+01,1.073002e+01
Rest of EU,5.930344e+01,4.924702e+01,5.964304e+01,4.634103e+01,4.958394e+01,4.958541e+01,7.210709e+01,5.335648e+01,3.515191e+01,3.805764e+01,9.478357e+01,6.921465e+01,5.264529e+01,4.383885e+01,5.282880e+01,4.134819e+01,4.406644e+01,4.406793e+01,6.405000e+01,4.754334e+01,3.153672e+01,3.411311e+01,8.379516e+01,6.125341e+01
Rest of Europe,3.075147e+00,2.346567e+00,2.980932e+00,2.027751e+00,2.046721e+00,2.046899e+00,2.349472e+00,1.713717e+00,1.100458e+00,1.213526e+00,4.265413e+00,2.665694e+00,1.547671e+00,1.178887e+00,1.523693e+00,1.037296e+00,1.097239e+00,1.097366e+00,1.171711e+00,8.817753e-01,6.103969e-01,7.323166e-01,2.065361e+00,1.384648e+00
USA,2.184322e+02,2.014872e+02,2.092000e+02,1.913000e+02,1.878714e+02,1.878750e+02,3.269000e+02,2.466000e+02,1.676000e+02,1.691000e+02,370,2.663000e+02,2.181376e+02,2.012000e+02,209,1.911000e+02,1.877587e+02,1.877624e+02,3.268000e+02,2.465000e+02,1.674928e+02,1.689886e+02,370,2.662000e+02
Canada,3.382212e+01,2.857756e+01,3.207851e+01,2.566160e+01,2.656269e+01,2.656290e+01,2.785582e+01,2.292631e+01,1.828526e+01,2.109400e+01,4.225484e+01,3.305493e+01,3.383684e+01,2.859497e+01,3.207877e+01,2.566881e+01,2.656333e+01,2.656346e+01,2.785620e+01,2.292673e+01,1.828565e+01,2.109560e+01,4.226985e+01,3.305539e+01
Mexico,4.151476e+01,3.685538e+01,3.500174e+01,2.994722e+01,2.494937e+01,2.494990e+01,2.584458e+01,2.207183e+01,1.830812e+01,1.985599e+01,4.900910e+01,3.005344e+01,4.146352e+01,3.680991e+01,3.497482e+01,2.992121e+01,2.494928e+01,2.494966e+01,2.584399e+01,2.207149e+01,1.830807e+01,1.985311e+01,4.895574e+01,3.004793e+01
Rest of Central America,1.912029e+01,1.554816e+01,1.520148e+01,1.165075e+01,8.803595e+00,8.803516e+00,6.810710e+00,5.487903e+00,4.334852e+00,5.315477e+00,2.065405e+01,1.050674e+01,2.104888e+01,1.722248e+01,1.656245e+01,1.277595e+01,9.419188e+00,9.419012e+00,7.421812e+00,5.937735e+00,4.631521e+00,5.615878e+00,2.280849e+01,1.125581e+01
Brazil,5.697754e+01,4.269963e+01,5.560940e+01,4.049278e+01,4.069270e+01,4.069534e+01,2.643538e+01,2.521478e+01,2.433968e+01,2.736599e+01,5.870513e+01,4.426613e+01,5.718205e+01,4.286569e+01,5.566889e+01,4.058377e+01,4.065857e+01,4.066117e+01,2.640207e+01,2.518254e+01,2.430859e+01,2.733261e+01,5.890740e+01,4.422851e+01
Rest of South America,9.040798e+01,8.102284e+01,6.554123e+01,5.611918e+01,3.473150e+01,3.473302e+01,2.512846e+01,2.313834e+01,2.133971e+01,2.901238e+01,9.325814e+01,4.295409e+01,1.040410e+02,9.335339e+01,7.494846e+01,6.424824e+01,3.900597e+01,3.900746e+01,2.840844e+01,2.601017e+01,2.381644e+01,3.209111e+01,1.075708e+02,4.810713e+01
