 NOx reduction( % ),Scenario 1,Scenario 2,Scenario 3,Scenario 4,Scenario 5,Scenario 6,Scenario 7,Scenario 8,Scenario 9,Scenario 10,Scenario 11,Scenario 12,Scenario 13,Scenario 14,Scenario 15,Scenario 16,Scenario 17,Scenario 18,Scenario 19,Scenario 20,Scenario 21,Scenario 22,Scenario 23,Scenario 24,Scenario 25,Scenario 26,Scenario 27,Scenario 28
Spain,9.557225e+00,9.610424e+00,8.899039e+00,8.952614e+00,8.382208e+00,8.429751e+00,9.172067e+00,9.225162e+00,8.735529e+00,8.784735e+00,9.469476e+00,9.522829e+00,8.295239e+00,8.342800e+00,9.562343e+00,9.614887e+00,8.904137e+00,8.957433e+00,8.386348e+00,8.433553e+00,9.176100e+00,9.228579e+00,8.740500e+00,8.789215e+00,9.474771e+00,9.527316e+00,8.299339e+00,8.346556e+00
UK,8.445399e+00,8.461288e+00,8.198936e+00,8.214612e+00,8.078342e+00,8.091829e+00,7.842191e+00,7.858241e+00,7.697498e+00,7.712268e+00,8.423679e+00,8.439679e+00,8.058424e+00,8.071992e+00,8.452523e+00,8.468158e+00,8.205958e+00,8.221505e+00,8.084552e+00,8.097905e+00,7.848188e+00,7.864001e+00,7.704506e+00,7.719105e+00,8.431058e+00,8.446777e+00,8.064803e+00,8.078236e+00
Scandinavia,4.989573e+00,5.031689e+00,4.977664e+00,5.019181e+00,4.982709e+00,5.018446e+00,4.895081e+00,4.936081e+00,4.428155e+00,4.466964e+00,4.397385e+00,4.434787e+00,4.412935e+00,4.444008e+00,5.106774e+00,5.148122e+00,5.097471e+00,5.138517e+00,5.105538e+00,5.140822e+00,4.999305e+00,5.039462e+00,4.535283e+00,4.573582e+00,4.505236e+00,4.541812e+00,4.524438e+00,4.555104e+00
Rest of EU,6.562344e+00,6.581057e+00,6.450264e+00,6.467756e+00,6.426091e+00,6.442173e+00,6.245022e+00,6.263704e+00,5.492591e+00,5.510177e+00,6.494787e+00,6.513413e+00,6.364048e+00,6.380044e+00,6.261314e+00,6.279774e+00,6.113477e+00,6.130820e+00,6.076274e+00,6.092181e+00,5.959963e+00,5.978398e+00,5.255985e+00,5.273398e+00,6.212115e+00,6.230482e+00,6.031803e+00,6.047625e+00
Rest of Europe,5.077013e+00,5.136313e+00,5.088849e+00,5.143898e+00,5.100623e+00,5.151845e+00,4.490881e+00,4.550264e+00,4.408203e+00,4.461472e+00,4.960213e+00,5.017111e+00,4.984045e+00,5.034983e+00,2.744132e+00,2.802376e+00,2.736349e+00,2.793255e+00,2.748183e+00,2.798767e+00,2.454904e+00,2.515507e+00,2.347517e+00,2.400127e+00,2.688143e+00,2.746098e+00,2.693288e+00,2.743587e+00
USA,6.707726e+00,6.712908e+00,6.695526e+00,6.700489e+00,6.694507e+00,6.699266e+00,6.637001e+00,6.642189e+00,5.910769e+00,5.915668e+00,6.720088e+00,6.725265e+00,6.706877e+00,6.711634e+00,6.708822e+00,6.713942e+00,6.696719e+00,6.701645e+00,6.695697e+00,6.700413e+00,6.637735e+00,6.642861e+00,5.911844e+00,5.916700e+00,6.721591e+00,6.726707e+00,6.708467e+00,6.713180e+00
Canada,9.378241e+00,9.390953e+00,9.194270e+00,9.206736e+00,9.100000e+00,9.100000e+00,9.179441e+00,9.192600e+00,8.653248e+00,8.664749e+00,9.004254e+00,9.017007e+00,8.777951e+00,8.787304e+00,9.378343e+00,9.390764e+00,9.194438e+00,9.206729e+00,9.100000e+00,9.100000e+00,9.179433e+00,9.192286e+00,8.653345e+00,8.664646e+00,9.004437e+00,9.016826e+00,8.778156e+00,8.787337e+00
Mexico,9.607788e+00,9.634213e+00,9.300000e+00,9.373706e+00,9.100000e+00,9.100000e+00,9.500000e+00,9.500000e+00,9.103889e+00,9.127913e+00,9.431303e+00,9.458031e+00,8.900000e+00,8.956126e+00,9.607038e+00,9.632880e+00,9.347119e+00,9.372774e+00,9.100000e+00,9.100000e+00,9.504811e+00,9.530545e+00,9.103137e+00,9.126768e+00,9.430635e+00,9.456632e+00,8.900000e+00,8.955308e+00
Rest of Central America,6.825214e+00,6.862073e+00,6.419149e+00,6.454655e+00,6.243000e+00,6.264846e+00,6.639388e+00,6.675502e+00,5.708387e+00,5.730750e+00,6.571867e+00,6.608794e+00,5.956621e+00,5.980136e+00,7.057743e+00,7.092688e+00,6.620982e+00,6.655303e+00,6.415633e+00,6.436244e+00,6.870646e+00,6.904931e+00,5.873013e+00,5.901306e+00,6.822238e+00,6.856360e+00,6.147613e+00,6.169574e+00
Brazil,6.268087e+00,6.315474e+00,6.266508e+00,6.313419e+00,6.267564e+00,6.311977e+00,6.091298e+00,6.138617e+00,6.129648e+00,6.174260e+00,5.986897e+00,6.034275e+00,5.986409e+00,6.030800e+00,6.265443e+00,6.312215e+00,6.264412e+00,6.310953e+00,6.265974e+00,6.309993e+00,6.088653e+00,6.135373e+00,6.127014e+00,6.171209e+00,5.984269e+00,6.031024e+00,5.984817e+00,6.028807e+00
Rest of South America,8.936255e+00,8.964880e+00,8.223342e+00,8.251604e+00,7.676340e+00,7.700835e+00,8.647916e+00,8.676434e+00,8.485064e+00,8.511717e+00,8.506608e+00,8.534947e+00,7.218192e+00,7.242365e+00,1.060000e+01,1.066337e+01,9.700000e+00,9.774270e+00,9.046582e+00,9.070701e+00,1.029763e+01,1.030000e+01,1.009169e+01,1.010000e+01,1.015604e+01,1.018384e+01,8.535307e+00,8.559106e+00
