GHG reduction( Mt CO2eq ),Scenario 1,Scenario 2,Scenario 3,Scenario 4,Scenario 5,Scenario 6,Scenario 7,Scenario 8,Scenario 9,Scenario 10,Scenario 11,Scenario 12,Scenario 13,Scenario 14,Scenario 15,Scenario 16,Scenario 17,Scenario 18,Scenario 19,Scenario 20,Scenario 21,Scenario 22,Scenario 23,Scenario 24,Scenario 25,Scenario 26,Scenario 27,Scenario 28
Rest of South East Asia,7.051005e+01,7.150014e+01,4.895827e+01,4.995861e+01,3.100768e+01,3.189742e+01,6.173396e+01,6.273763e+01,6.967195e+01,7.062600e+01,6.996682e+01,7.095958e+01,3.036871e+01,3.125928e+01,6.560096e+01,6.660111e+01,4.553714e+01,4.653532e+01,2.885121e+01,2.973874e+01,5.739345e+01,5.839290e+01,6.512258e+01,6.607409e+01,6.510786e+01,6.610876e+01,2.826750e+01,2.915569e+01
India,2.180570e+02,2.197515e+02,1.698619e+02,1.715358e+02,1.261059e+02,1.276340e+02,2.141728e+02,2.159580e+02,1.782426e+02,1.798333e+02,2.157563e+02,2.174550e+02,1.237669e+02,1.252993e+02,2.181042e+02,2.197738e+02,1.698989e+02,1.715572e+02,1.261162e+02,1.276273e+02,2.142134e+02,2.159740e+02,1.782890e+02,1.798634e+02,2.158039e+02,2.174764e+02,1.237769e+02,1.252919e+02
Rest of South Asia,9.774912e+01,9.824100e+01,6.691935e+01,6.757086e+01,3.833212e+01,3.881241e+01,8.596140e+01,8.646287e+01,9.654283e+01,9.694317e+01,9.699222e+01,9.753315e+01,3.751430e+01,3.799495e+01,9.023911e+01,9.073405e+01,6.241345e+01,6.308076e+01,3.673682e+01,3.720025e+01,7.904244e+01,7.957340e+01,8.895109e+01,8.935572e+01,8.955453e+01,9.006230e+01,3.596235e+01,3.642649e+01
Australia,2.179874e+01,2.216957e+01,2.179807e+01,2.212786e+01,2.180062e+01,2.211532e+01,1.933711e+01,1.970653e+01,1.810770e+01,1.845494e+01,2.111043e+01,2.148181e+01,2.110656e+01,2.142150e+01,2.188939e+01,2.225462e+01,2.183180e+01,2.215831e+01,2.183165e+01,2.214270e+01,1.941481e+01,1.977885e+01,1.819807e+01,1.854158e+01,2.119866e+01,2.156409e+01,2.113505e+01,2.144630e+01
Rest of Oceania,8.559814e+00,8.773717e+00,7.038542e+00,7.246245e+00,6.087276e+00,6.231722e+00,7.379313e+00,7.582895e+00,8.436215e+00,8.601548e+00,8.342116e+00,8.537692e+00,5.818201e+00,5.971187e+00,2.659326e+00,2.781769e+00,2.674875e+00,2.791623e+00,2.690238e+00,2.797322e+00,2.149781e+00,2.368787e+00,2.663448e+00,2.776022e+00,2.523561e+00,2.657627e+00,2.556397e+00,2.672174e+00
Russia,2.486374e+00,3.634523e+01,2.495681e+00,3.651709e+01,2.505499e+00,3.533759e+01,2.542401e+00,3.647970e+01,2.491512e+00,3.525757e+01,2.465582e+00,3.631459e+01,2.494882e+00,3.531307e+01,2.494145e+00,3.645658e+01,2.503536e+00,3.665861e+01,2.516161e+00,3.566675e+01,2.551057e+00,3.658204e+01,2.499023e+00,3.551079e+01,2.484938e+00,3.642835e+01,2.506771e+00,3.564276e+01
Rest of FSU,2.922339e+01,3.066348e+01,2.656978e+01,2.815502e+01,2.507848e+01,2.659069e+01,2.671640e+01,2.821806e+01,2.254665e+01,2.420423e+01,2.915806e+01,3.060456e+01,2.502153e+01,2.653421e+01,2.414165e+01,2.571207e+01,2.069066e+01,2.245129e+01,1.819378e+01,1.992135e+01,2.194966e+01,2.357522e+01,1.943786e+01,2.116915e+01,2.395237e+01,2.552830e+01,1.798227e+01,1.971561e+01
Iran,3.362912e-01,6.989040e-01,3.833447e-01,7.627258e-01,4.407452e-01,7.837855e-01,3.706141e-01,7.533952e-01,3.455434e-01,6.395076e-01,3.400573e-01,7.190988e-01,4.533998e-01,8.058162e-01,3.502424e-01,7.073220e-01,3.990411e-01,7.740697e-01,4.532789e-01,7.906748e-01,3.880595e-01,7.606925e-01,3.613921e-01,6.528934e-01,3.609083e-01,7.271758e-01,4.658533e-01,8.124243e-01
UAE,1.944929e+01,1.954929e+01,1.867791e+01,1.876601e+01,1.860504e+01,1.867864e+01,1.721277e+01,1.731208e+01,1.954782e+01,1.963833e+01,1.715412e+01,1.725554e+01,1.617701e+01,1.625092e+01,1.950136e+01,1.959916e+01,1.871410e+01,1.880117e+01,1.862829e+01,1.870085e+01,1.726154e+01,1.735875e+01,1.959782e+01,1.968691e+01,1.720422e+01,1.730255e+01,1.619780e+01,1.627068e+01
Middle East,1.190187e+02,1.193835e+02,1.137610e+02,1.140835e+02,1.127657e+02,1.130491e+02,1.026562e+02,1.030193e+02,1.073984e+02,1.077385e+02,1.148890e+02,1.152488e+02,1.080814e+02,1.083596e+02,8.202205e+01,8.234461e+01,8.114238e+01,8.146238e+01,8.151624e+01,8.179674e+01,6.851278e+01,6.883395e+01,7.384604e+01,7.414763e+01,7.807046e+01,7.838746e+01,7.745475e+01,7.776089e+01
Rest of OPEC,3.008585e+01,3.038146e+01,2.672787e+01,2.701930e+01,2.421547e+01,2.444346e+01,2.646811e+01,2.676241e+01,2.899633e+01,2.927043e+01,2.884975e+01,2.914307e+01,2.291516e+01,2.314032e+01,2.616049e+01,2.635325e+01,2.270935e+01,2.290041e+01,2.003482e+01,2.016532e+01,2.263826e+01,2.282995e+01,2.421341e+01,2.438920e+01,2.502981e+01,2.521985e+01,1.884566e+01,1.897352e+01
Nigeria,2.526819e+01,2.891222e+01,2.071643e+01,2.431199e+01,1.707285e+01,2.037848e+01,2.209662e+01,2.572526e+01,2.522218e+01,2.846017e+01,2.475389e+01,2.842495e+01,1.648910e+01,1.980168e+01,2.528490e+01,2.884137e+01,2.073247e+01,2.427434e+01,1.708838e+01,2.034299e+01,2.211251e+01,2.565630e+01,2.523827e+01,2.842566e+01,2.478884e+01,2.835413e+01,1.650475e+01,1.976603e+01
South Africa,3.115792e+01,3.198976e+01,2.791846e+01,2.873614e+01,2.589797e+01,2.668410e+01,2.839161e+01,2.924845e+01,2.419813e+01,2.495358e+01,3.066350e+01,3.150157e+01,2.540539e+01,2.619359e+01,3.118799e+01,3.200192e+01,2.794422e+01,2.875097e+01,2.591297e+01,2.668388e+01,2.841751e+01,2.925641e+01,2.422620e+01,2.497050e+01,3.069747e+01,3.151244e+01,2.541980e+01,2.619271e+01
