 NOx reduction( % ),Scenario 1,Scenario 2,Scenario 3,Scenario 4,Scenario 5,Scenario 6,Scenario 7,Scenario 8,Scenario 9,Scenario 10,Scenario 11,Scenario 12,Scenario 13,Scenario 14,Scenario 15,Scenario 16,Scenario 17,Scenario 18,Scenario 19,Scenario 20,Scenario 21,Scenario 22,Scenario 23,Scenario 24
France,3.675656e+00,3.490999e+00,3.677138e+00,3.377390e+00,3.678603e+00,3.378878e+00,3.857171e+00,3.499964e+00,3.143942e+00,3.162903e+00,4.386700e+00,3.861784e+00,3.676378e+00,3.491840e+00,3.678017e+00,3.378187e+00,3.679564e+00,3.379834e+00,3.858775e+00,3.501227e+00,3.144802e+00,3.162891e+00,4.387961e+00,3.863212e+00
Germany,1.751985e+00,1.668355e+00,1.794450e+00,1.586403e+00,1.781463e+00,1.628877e+00,2.515892e+00,1.989029e+00,1.496030e+00,1.657347e+00,2.774575e+00,2.301601e+00,1.751144e+00,1.667526e+00,1.794566e+00,1.586370e+00,1.782430e+00,1.629802e+00,2.519409e+00,1.991231e+00,1.496833e+00,1.654131e+00,2.776243e+00,2.303841e+00
Spain,6.095262e+00,5.926218e+00,5.684716e+00,5.482035e+00,5.427241e+00,5.137024e+00,6.371085e+00,5.631476e+00,4.892820e+00,4.899963e+00,7.558291e+00,5.967559e+00,6.097027e+00,5.927256e+00,5.687920e+00,5.483760e+00,5.428084e+00,5.137875e+00,6.372777e+00,5.632690e+00,4.893508e+00,4.899880e+00,7.561349e+00,5.968635e+00
UK,7.047137e+00,6.655270e+00,6.687336e+00,6.152144e+00,6.531249e+00,5.860271e+00,6.770034e+00,5.985379e+00,5.294185e+00,5.396399e+00,8.455756e+00,6.879608e+00,7.050448e+00,6.658110e+00,6.691638e+00,6.155523e+00,6.533801e+00,5.862830e+00,6.772809e+00,5.988037e+00,5.296692e+00,5.398626e+00,8.459428e+00,6.882251e+00
Scandinavia,1.975479e+00,1.987415e+00,1.984370e+00,1.985212e+00,1.979494e+00,1.981074e+00,3.004924e+00,2.487271e+00,1.995093e+00,2.599890e+00,2.985963e+00,3.029511e+00,2.089203e+00,2.087131e+00,2.117797e+00,2.088392e+00,2.114234e+00,2.095256e+00,3.116242e+00,2.597035e+00,2.103054e+00,2.699825e+00,3.099520e+00,3.146694e+00
Rest of EU,3.214948e+00,3.068480e+00,3.229167e+00,2.961960e+00,3.229672e+00,2.976173e+00,4.573880e+00,3.664300e+00,2.781013e+00,2.919105e+00,4.937777e+00,4.041031e+00,2.946201e+00,2.818787e+00,2.953480e+00,2.728060e+00,2.955587e+00,2.735334e+00,4.149037e+00,3.347548e+00,2.570139e+00,2.693162e+00,4.460369e+00,3.669008e+00
Rest of Europe,1.841011e+00,1.671079e+00,1.857673e+00,1.589126e+00,1.817097e+00,1.591127e+00,2.209420e+00,1.793172e+00,1.386653e+00,1.431259e+00,2.633710e+00,2.047219e+00,1.049057e+00,9.623561e-01,1.056240e+00,9.190728e-01,1.046810e+00,9.297504e-01,1.192903e+00,1.005890e+00,8.254361e-01,8.716145e-01,1.394151e+00,1.141079e+00
USA,5.493718e+00,5.419052e+00,5.439449e+00,5.355667e+00,5.417601e+00,5.317850e+00,6.936780e+00,6.108413e+00,5.291793e+00,5.304344e+00,7.090080e+00,6.144856e+00,5.492828e+00,5.418256e+00,5.438914e+00,5.355132e+00,5.417225e+00,5.317485e+00,6.936558e+00,6.108158e+00,5.291445e+00,5.303922e+00,7.089396e+00,6.144528e+00
Canada,7.752714e+00,7.624603e+00,7.637336e+00,7.402429e+00,7.664486e+00,7.357588e+00,8.487926e+00,7.780420e+00,7.114027e+00,7.540507e+00,8.971603e+00,8.491419e+00,7.754034e+00,7.626213e+00,7.637400e+00,7.403108e+00,7.664498e+00,7.357654e+00,8.487973e+00,7.780472e+00,7.114077e+00,7.540594e+00,8.972940e+00,8.491488e+00
Mexico,9.029415e+00,8.986574e+00,8.785509e+00,8.700000e+00,8.600000e+00,8.481913e+00,9.178957e+00,8.774693e+00,8.371176e+00,8.500000e+00,9.833869e+00,9.081557e+00,9.028105e+00,8.985580e+00,8.784835e+00,8.707488e+00,8.608170e+00,8.481935e+00,9.178914e+00,8.774674e+00,8.371190e+00,8.500825e+00,9.832360e+00,9.081257e+00
Rest of Central America,5.341595e+00,5.099395e+00,4.753436e+00,4.518572e+00,4.420109e+00,4.037714e+00,5.872983e+00,4.706927e+00,3.670699e+00,3.890113e+00,6.773281e+00,5.064053e+00,5.801896e+00,5.542130e+00,5.127796e+00,4.881476e+00,4.729306e+00,4.319510e+00,6.392248e+00,5.090658e+00,3.925380e+00,4.135328e+00,7.420796e+00,5.453545e+00
Brazil,6.286448e+00,6.076113e+00,6.281514e+00,6.004996e+00,6.286316e+00,6.009687e+00,5.909855e+00,5.822881e+00,5.759374e+00,5.982611e+00,6.412587e+00,6.330455e+00,6.287029e+00,6.076617e+00,6.281159e+00,6.004980e+00,6.285442e+00,6.008949e+00,5.909108e+00,5.822162e+00,5.758685e+00,5.981870e+00,6.413098e+00,6.329619e+00
Rest of South America,9.584855e+00,9.300000e+00,8.585933e+00,8.323890e+00,7.835004e+00,7.405836e+00,7.692350e+00,7.346876e+00,7.032211e+00,7.983954e+00,1.009156e+01,8.624129e+00,1.098539e+01,1.068566e+01,9.800000e+00,9.500000e+00,8.900000e+00,8.429405e+00,8.796054e+00,8.382212e+00,8.001327e+00,9,1.160000e+01,9.785620e+00
