SO2 reduction (%),Scenario 1,Scenario 2,Scenario 3,Scenario 4,Scenario 5,Scenario 6,Scenario 7,Scenario 8,Scenario 9,Scenario 10,Scenario 11,Scenario 12,Scenario 13,Scenario 14,Scenario 15,Scenario 16,Scenario 17,Scenario 18,Scenario 19,Scenario 20,Scenario 21,Scenario 22,Scenario 23,Scenario 24
UK,4.343047e+00,3.931781e+00,3.968924e+00,3.439410e+00,3.800000e+00,3.100000e+00,5.432039e+00,3.900000e+00,2.552647e+00,2.646677e+00,7.092781e+00,4.752237e+00,4.347332e+00,3.935581e+00,3.974827e+00,3.444308e+00,3.800000e+00,3.151733e+00,5.436648e+00,3.900000e+00,2.556760e+00,2.650369e+00,7.097706e+00,4.756585e+00
Scandinavia,1.169324e+00,1.169983e+00,1.188905e+00,1.162512e+00,1.184877e+00,1.166429e+00,1.833125e+00,1.487027e+00,1.157955e+00,1.720114e+00,1.844805e+00,1.973497e+00,1.237832e+00,1.227095e+00,1.276743e+00,1.222581e+00,1.273673e+00,1.236906e+00,1.896984e+00,1.549803e+00,1.219482e+00,1.773052e+00,1.913275e+00,2.044998e+00
Rest of EU,1.161443e+00,1.046044e+00,1.171502e+00,9.564073e-01,1.171411e+00,9.664642e-01,4.639184e+00,2.686465e+00,7.893629e-01,8.706223e-01,4.864889e+00,2.938732e+00,1.035350e+00,9.344817e-01,1.040384e+00,8.570871e-01,1.041409e+00,8.621184e-01,4.100739e+00,2.379424e+00,7.090574e-01,7.825298e-01,4.291779e+00,2.595202e+00
Rest of Europe,6.784174e-01,4.714083e-01,6.978594e-01,4.158419e-01,6.744431e-01,4.258465e-01,2.659872e+00,1.410983e+00,1.888740e-01,2.211986e-01,3.065219e+00,1.638359e+00,3.512586e-01,2.442659e-01,3.592028e-01,2.143844e-01,3.542234e-01,2.249362e-01,1.205429e+00,6.453927e-01,1.025265e-01,1.414283e-01,1.391200e+00,7.680868e-01
USA,1.042688e+00,9.600581e-01,9.955678e-01,9.058698e-01,9.818398e-01,8.784428e-01,5.472257e+00,3.113312e+00,7.869317e-01,7.971904e-01,5.590984e+00,3.169591e+00,1.040608e+00,9.580511e-01,9.943304e-01,9.046085e-01,9.810956e-01,8.777264e-01,5.471922e+00,3.112888e+00,7.862564e-01,7.963826e-01,5.589447e+00,3.169029e+00
Canada,2.973729e+00,2.816385e+00,2.810750e+00,2.504605e+00,2.820954e+00,2.435376e+00,5.800000e+00,3.900000e+00,2.091228e+00,2.491812e+00,6.318920e+00,4.645650e+00,2.974602e+00,2.817441e+00,2.810774e+00,2.505009e+00,2.820912e+00,2.435415e+00,5.800000e+00,3.900000e+00,2.091257e+00,2.491980e+00,6.319828e+00,4.645689e+00
Mexico,1.186703e+00,1.173191e+00,1.016214e+00,9.844828e-01,8.895579e-01,8.300251e-01,4.033206e+00,2.401646e+00,7.725713e-01,8.257961e-01,4.435515e+00,2.536323e+00,1.184655e+00,1.171307e+00,1.015136e+00,9.834412e-01,8.894574e-01,8.300178e-01,4.032986e+00,2.401509e+00,7.725700e-01,8.255890e-01,4.432705e+00,2.535628e+00
Rest of Central America,2.133355e+00,1.838826e+00,1.594198e+00,1.302802e+00,1.305545e+00,8.657671e-01,3.800745e+00,2.022957e+00,4.406923e-01,6.467992e-01,4.328128e+00,2.278371e+00,2.358249e+00,2.042741e+00,1.741588e+00,1.436038e+00,1.397013e+00,9.264026e-01,4.233802e+00,2.249695e+00,4.709361e-01,6.802531e-01,4.838323e+00,2.517605e+00
Brazil,1.857097e+00,1.718743e+00,1.855586e+00,1.698285e+00,1.866181e+00,1.705802e+00,1.985921e+00,1.734911e+00,1.551057e+00,1.662017e+00,2.223175e+00,1.974576e+00,1.853767e+00,1.715398e+00,1.852808e+00,1.695862e+00,1.864408e+00,1.704146e+00,1.984246e+00,1.733301e+00,1.549518e+00,1.660365e+00,2.219688e+00,1.972688e+00
Rest of South America,4.561475e+00,4.274853e+00,3.248263e+00,2.956561e+00,2.289859e+00,1.790029e+00,3.038120e+00,2.135685e+00,1.312506e+00,2.158420e+00,5.889913e+00,3.218227e+00,5.269646e+00,4.900000e+00,3.727573e+00,3.398671e+00,2.582622e+00,2.015989e+00,3.550439e+00,2.469987e+00,1.474314e+00,2.387257e+00,6.895730e+00,3.665379e+00
