 NOx reduction( % ),Scenario 1,Scenario 2,Scenario 3,Scenario 4,Scenario 5,Scenario 6,Scenario 7,Scenario 8,Scenario 9,Scenario 10,Scenario 11,Scenario 12,Scenario 13,Scenario 14,Scenario 15,Scenario 16,Scenario 17,Scenario 18,Scenario 19,Scenario 20,Scenario 21,Scenario 22,Scenario 23,Scenario 24,Scenario 25,Scenario 26,Scenario 27,Scenario 28
Rest of South East Asia,5.465936e+00,5.465827e+00,5.664181e+00,5.664096e+00,2.178457e+00,2.178159e+00,6.293838e+00,6.430063e+00,7.594214e+00,7.764654e+00,7.509869e+00,7.684566e+00,2.812062e+00,2.863848e+00,2.722813e+00,2.774595e+00,3.567412e+00,3.647634e+00,4.799100e+00,4.910385e+00,6.043614e+00,6.180242e+00,7.288454e+00,7.460149e+00,7.211393e+00,7.386388e+00,2.656001e+00,2.708521e+00
India,2.805241e+00,2.805275e+00,2.804667e+00,2.804707e+00,1.616783e+00,1.616780e+00,5.237085e+00,5.353812e+00,5.705087e+00,5.837653e+00,5.614364e+00,5.747335e+00,3.841558e+00,3.919712e+00,3.933519e+00,4.011201e+00,4.302432e+00,4.391930e+00,4.770957e+00,4.871920e+00,5.238972e+00,5.355011e+00,5.706690e+00,5.839185e+00,5.615917e+00,5.748807e+00,3.839973e+00,3.919320e+00
Rest of South Asia,5.614088e+00,5.614031e+00,6,6,2.993261e+00,2.992466e+00,7.601529e+00,7.703374e+00,8.785834e+00,8.832052e+00,8.563871e+00,8.610956e+00,4.694806e+00,4.763357e+00,4.755327e+00,4.827101e+00,5.485443e+00,5.564961e+00,6.414486e+00,6.493211e+00,7.319524e+00,7.420809e+00,8.286070e+00,8.349552e+00,8.120655e+00,8.237007e+00,4.622676e+00,4.697018e+00
Australia,1.574571e+00,1.574707e+00,1.702649e+00,1.702798e+00,1.488648e+00,1.488653e+00,3.900977e+00,3.994773e+00,3.900800e+00,4.014349e+00,3.858497e+00,3.972706e+00,3.868108e+00,3.912760e+00,3.913723e+00,3.958264e+00,3.907932e+00,3.968932e+00,3.907771e+00,3.982740e+00,3.906982e+00,3.999430e+00,3.905867e+00,4.019510e+00,3.862767e+00,3.977045e+00,3.866767e+00,3.915472e+00
Rest of Oceania,3.367930e+00,3.368473e+00,3.725731e+00,3.726226e+00,2.356896e+00,2.357128e+00,7.055968e+00,7.486070e+00,7.456349e+00,7.941927e+00,7.311673e+00,7.797377e+00,6.046725e+00,6.314424e+00,2.461738e+00,2.608428e+00,2.473404e+00,2.636329e+00,2.487970e+00,2.677611e+00,2.490575e+00,2.762220e+00,2.538640e+00,2.874961e+00,2.468835e+00,2.810612e+00,2.385459e+00,2.533608e+00
Russia,1.694202e-02,3.253536e-03,1.640394e-02,3.017897e-03,1.696459e-02,3.894452e-03,2.952038e-01,1.228823e+00,3.198488e-01,1.363613e+00,3.199846e-01,1.365904e+00,2.577041e-01,9.382653e-01,2.481835e-01,9.368433e-01,2.757996e-01,9.926541e-01,3.069659e-01,1.093256e+00,3.090773e-01,1.230854e+00,3.235602e-01,1.366425e+00,3.232623e-01,1.368839e+00,2.437027e-01,9.371748e-01
Rest of FSU,1.113397e+00,1.113515e+00,1.330499e+00,1.330435e+00,7.322692e-01,7.319096e-01,2.426045e+00,2.457863e+00,2.654808e+00,2.684357e+00,2.623972e+00,2.654068e+00,1.829373e+00,1.864243e+00,1.247820e+00,1.279180e+00,1.323186e+00,1.360653e+00,1.485027e+00,1.518645e+00,1.644995e+00,1.677856e+00,1.803195e+00,1.836384e+00,1.779607e+00,1.813791e+00,1.219513e+00,1.252791e+00
Iran,9.210908e-04,9.210908e-04,9.210908e-04,9.210908e-04,2.487358e-03,9.210908e-04,4.766118e-02,1.117262e-01,4.280127e-02,1.011824e-01,4.538204e-02,1.055576e-01,7.799753e-02,1.593657e-01,7.045336e-02,1.559255e-01,6.733334e-02,1.389695e-01,6.793036e-02,1.270674e-01,5.459525e-02,1.167483e-01,4.849082e-02,1.069101e-01,5.063549e-02,1.111606e-01,7.193646e-02,1.604605e-01
UAE,2.455263e+00,2.455029e+00,3.195700e+00,3.195435e+00,2.511896e+00,2.511272e+00,5.680668e+00,5.716780e+00,5.850925e+00,5.891396e+00,4.909047e+00,4.950001e+00,4.556990e+00,4.584875e+00,5.428085e+00,5.444947e+00,5.485975e+00,5.506447e+00,5.564019e+00,5.590594e+00,5.694513e+00,5.729129e+00,5.865078e+00,5.905421e+00,4.921655e+00,4.962494e+00,4.558399e+00,4.588843e+00
Middle East,3.184985e+00,3.185052e+00,3.543860e+00,3.543912e+00,2.826561e+00,2.826565e+00,7.377169e+00,7.396149e+00,7.684369e+00,7.704551e+00,7.481449e+00,7.501359e+00,6.469560e+00,6.480910e+00,4.898410e+00,4.910053e+00,4.937753e+00,4.952470e+00,5.118616e+00,5.135595e+00,5.327540e+00,5.345938e+00,5.536375e+00,5.556398e+00,5.373659e+00,5.393424e+00,4.709592e+00,4.723368e+00
Rest of OPEC,4.004206e+00,4.004314e+00,4.227203e+00,4.227273e+00,3.639948e+00,3.639987e+00,5.264302e+00,5.321927e+00,5.472766e+00,5.527968e+00,5.427623e+00,5.482619e+00,4.685203e+00,4.741678e+00,4.281463e+00,4.338044e+00,4.392495e+00,4.453040e+00,4.595791e+00,4.652565e+00,4.798095e+00,4.853253e+00,4.999735e+00,5.053781e+00,4.956726e+00,5.011314e+00,4.229726e+00,4.287908e+00
Nigeria,3.866460e+00,3.864176e+00,4.004381e+00,4.002065e+00,2.658663e+00,2.657386e+00,7.663303e+00,7.876585e+00,8.997864e+00,9.204006e+00,8.932479e+00,9.139715e+00,4.056316e+00,4.248693e+00,4.170088e+00,4.366269e+00,5.018900e+00,5.215512e+00,6.359179e+00,6.542502e+00,7.674395e+00,7.877466e+00,9.001831e+00,9.205598e+00,8.936117e+00,9.141179e+00,4.046025e+00,4.245922e+00
South Africa,1.589609e+00,1.585886e+00,1.890135e+00,1.890004e+00,1.081753e+00,1.079089e+00,5.067675e+00,5.316132e+00,5.311373e+00,5.560372e+00,5.283205e+00,5.532257e+00,4.422573e+00,4.670575e+00,4.452925e+00,4.702087e+00,4.591956e+00,4.830545e+00,4.842729e+00,5.076264e+00,5.080125e+00,5.322722e+00,5.321198e+00,5.568264e+00,5.292321e+00,5.539735e+00,4.418092e+00,4.671054e+00
Rest of Africa,1.542399e+00,1.542644e+00,1.663280e+00,1.663446e+00,1.014971e+00,1.014773e+00,2.298383e+00,2.320050e+00,2.609245e+00,2.631420e+00,2.510359e+00,2.532855e+00,1.437578e+00,1.462820e+00,1.394576e+00,1.419730e+00,1.500410e+00,1.519970e+00,1.757950e+00,1.778206e+00,2.019777e+00,2.040870e+00,2.281056e+00,2.303394e+00,2.194784e+00,2.217395e+00,1.298531e+00,1.328257e+00
Italy,3.303343e+00,3.303401e+00,3.982195e+00,3.982231e+00,2.530523e+00,2.530526e+00,9.306258e+00,9.341386e+00,1.021198e+01,1.024881e+01,1.012162e+01,1.015852e+01,6.744114e+00,6.769542e+00,6.840778e+00,6.866253e+00,7.504598e+00,7.536184e+00,8.412918e+00,8.444999e+00,9.320661e+00,9.354827e+00,1.022799e+01,1.026465e+01,1.013766e+01,1.017439e+01,6.746386e+00,6.773902e+00
