SO2 reduction (%),Scenario 1,Scenario 2,Scenario 3,Scenario 4,Scenario 5,Scenario 6,Scenario 7,Scenario 8,Scenario 9,Scenario 10,Scenario 11,Scenario 12,Scenario 13,Scenario 14,Scenario 15,Scenario 16,Scenario 17,Scenario 18,Scenario 19,Scenario 20,Scenario 21,Scenario 22,Scenario 23,Scenario 24,Scenario 25,Scenario 26,Scenario 27,Scenario 28
Rest of South East Asia,5.226469e-02,5.294519e-02,4.185626e-02,4.254444e-02,3.396886e-02,3.455608e-02,4.958869e-02,5.028164e-02,4.834055e-02,4.886617e-02,5.125628e-02,5.194039e-02,3.280632e-02,3.339495e-02,4.754316e-02,4.823134e-02,3.786333e-02,3.854827e-02,3.054030e-02,3.112393e-02,4.505802e-02,4.574446e-02,4.517804e-02,4.570123e-02,4.662511e-02,4.731445e-02,2.947855e-02,3.006326e-02
India,5.608981e-01,5.698802e-01,5.286578e-01,5.375285e-01,5.000000e-01,5.097722e-01,5.548509e-01,5.638000e-01,3.300000e-01,3.385125e-01,5.579393e-01,5.669378e-01,4.984093e-01,5.068125e-01,5.609540e-01,5.698033e-01,5.287033e-01,5.374906e-01,5.000000e-01,5.096968e-01,5.548978e-01,5.637191e-01,3.300000e-01,3.384792e-01,5.580024e-01,5.668598e-01,4.984263e-01,5.067363e-01
Rest of South Asia,7.952941e-02,8.025818e-02,6.899808e-02,6.972734e-02,6.066317e-02,6.116639e-02,7.740637e-02,7.811767e-02,6.440510e-02,6.462724e-02,7.833317e-02,7.910436e-02,5.930119e-02,5.980938e-02,7.559872e-02,7.628508e-02,6.609378e-02,6.679830e-02,5.868147e-02,5.915761e-02,7.358421e-02,7.425683e-02,5.955280e-02,5.977245e-02,7.449672e-02,7.519256e-02,5.739273e-02,5.787473e-02
Australia,3.382337e-02,3.434197e-02,3.383207e-02,3.433485e-02,3.384097e-02,3.431532e-02,3.272254e-02,3.323817e-02,2.409566e-02,2.457447e-02,3.339722e-02,3.391870e-02,3.341542e-02,3.389090e-02,3.388045e-02,3.438921e-02,3.387356e-02,3.437027e-02,3.387914e-02,3.434673e-02,3.277142e-02,3.327762e-02,2.415239e-02,2.462461e-02,3.345193e-02,3.396176e-02,3.344949e-02,3.391812e-02
Rest of Oceania,7.357585e-03,7.738240e-03,6.747281e-03,7.124027e-03,6.439024e-03,6.776543e-03,6.850662e-03,7.231264e-03,6.653611e-03,6.812460e-03,7.132179e-03,7.509721e-03,6.195900e-03,6.531910e-03,2.448922e-03,2.601222e-03,2.458311e-03,2.607058e-03,2.467754e-03,2.606235e-03,2.209378e-03,2.385282e-03,2.458318e-03,2.595160e-03,2.319284e-03,2.472785e-03,2.338185e-03,2.476197e-03
Russia,1.021754e-03,6.628752e-03,1.025316e-03,6.644973e-03,1.031061e-03,6.446767e-03,1.053245e-03,6.667281e-03,1.024158e-03,6.386672e-03,1.011233e-03,6.622067e-03,1.023232e-03,6.438586e-03,1.026558e-03,6.629158e-03,1.030059e-03,6.658773e-03,1.039689e-03,6.490515e-03,1.058474e-03,6.666631e-03,1.028829e-03,6.417180e-03,1.021797e-03,6.623474e-03,1.033152e-03,6.483709e-03
Rest of FSU,9.389732e-02,9.519744e-02,9.069339e-02,9.196752e-02,8.984544e-02,9.081623e-02,9.231187e-02,9.359819e-02,5.368082e-02,5.481506e-02,9.377837e-02,9.510406e-02,8.975376e-02,9.073105e-02,6.652138e-02,6.763808e-02,6.248531e-02,6.359736e-02,6.037482e-02,6.119384e-02,6.513494e-02,6.624033e-02,4.019055e-02,4.116313e-02,6.616112e-02,6.728542e-02,5.997642e-02,6.080169e-02
Iran,2.143849e-03,3.060778e-03,2.288835e-03,3.209149e-03,2.444989e-03,3.207298e-03,2.255268e-03,3.182146e-03,2.175146e-03,2.823508e-03,2.156282e-03,3.127055e-03,2.494940e-03,3.277314e-03,2.198669e-03,3.072441e-03,2.338828e-03,3.233265e-03,2.484413e-03,3.219120e-03,2.310069e-03,3.190515e-03,2.231900e-03,2.855911e-03,2.241601e-03,3.136370e-03,2.532426e-03,3.286704e-03
UAE,1.012654e-02,1.017527e-02,9.523558e-03,9.561614e-03,9.412135e-03,9.442667e-03,8.771239e-03,8.819452e-03,1.016685e-02,1.020960e-02,8.224761e-03,8.274714e-03,7.401154e-03,7.431927e-03,1.014974e-02,1.019710e-02,9.537640e-03,9.575152e-03,9.420950e-03,9.450934e-03,8.792798e-03,8.839692e-03,1.018917e-02,1.023104e-02,8.247351e-03,8.295139e-03,7.408921e-03,7.439146e-03
Middle East,2.508845e-01,2.519883e-01,2.449712e-01,2.459678e-01,2.464805e-01,2.473860e-01,2.431400e-01,2.442341e-01,1.550462e-01,1.560495e-01,2.423434e-01,2.434383e-01,2.368679e-01,2.377583e-01,1.752281e-01,1.762251e-01,1.756179e-01,1.766033e-01,1.769721e-01,1.778643e-01,1.678111e-01,1.687996e-01,1.070803e-01,1.079877e-01,1.670091e-01,1.679904e-01,1.686676e-01,1.695469e-01
