SO2 reduction (%),Scenario 1,Scenario 2,Scenario 3,Scenario 4,Scenario 5,Scenario 6,Scenario 7,Scenario 8,Scenario 9,Scenario 10,Scenario 11,Scenario 12,Scenario 13,Scenario 14,Scenario 15,Scenario 16,Scenario 17,Scenario 18,Scenario 19,Scenario 20,Scenario 21,Scenario 22,Scenario 23,Scenario 24,Scenario 25,Scenario 26,Scenario 27,Scenario 28
Germany,1.091529e+00,1.091518e+00,1.486715e+00,1.486701e+00,7.901791e-01,7.901308e-01,2.307076e+00,2.310055e+00,2.295859e+00,2.298916e+00,2.189359e+00,2.192397e+00,2.236294e+00,2.238238e+00,2.348074e+00,2.350233e+00,2.336640e+00,2.339266e+00,2.326342e+00,2.328481e+00,2.315648e+00,2.318093e+00,2.304798e+00,2.307805e+00,2.198384e+00,2.201374e+00,2.240659e+00,2.243776e+00
Spain,2.558753e+00,2.558770e+00,2.791286e+00,2.791320e+00,2.179439e+00,2.179422e+00,8.768927e+00,8.840909e+00,9.543092e+00,9.618232e+00,9.474100e+00,9.549404e+00,6.694607e+00,6.755203e+00,6.769375e+00,6.830506e+00,7.229333e+00,7.296571e+00,8.006942e+00,8.073329e+00,8.783496e+00,8.853676e+00,9.559185e+00,9.634019e+00,9.490111e+00,9.565086e+00,6.693285e+00,6.757076e+00
UK,3.000173e+00,3.000220e+00,3.397762e+00,3.397805e+00,2.720735e+00,2.720755e+00,7.028220e+00,7.050352e+00,7.334382e+00,7.359054e+00,7.295307e+00,7.320046e+00,6.299592e+00,6.313277e+00,6.345641e+00,6.359398e+00,6.479809e+00,6.494383e+00,6.733328e+00,6.752530e+00,7.041851e+00,7.063625e+00,7.350360e+00,7.375009e+00,7.311272e+00,7.335986e+00,6.302766e+00,6.317343e+00
Scandinavia,2.633676e+00,2.633877e+00,2.874114e+00,2.874305e+00,2.169689e+00,2.169826e+00,3.253662e+00,3.285120e+00,3.316412e+00,3.354884e+00,3.119028e+00,3.156783e+00,2.988886e+00,3.012626e+00,3.203146e+00,3.229082e+00,3.226956e+00,3.254081e+00,3.255909e+00,3.285565e+00,3.317379e+00,3.354131e+00,3.398216e+00,3.437026e+00,3.196516e+00,3.234189e+00,3.010643e+00,3.035508e+00
Rest of EU,1.657765e+00,1.657803e+00,2.175617e+00,2.175657e+00,1.227714e+00,1.227732e+00,5.021901e+00,5.050671e+00,5.082316e+00,5.119258e+00,5.071005e+00,5.107991e+00,4.917272e+00,4.940837e+00,4.625867e+00,4.649549e+00,4.624267e+00,4.649142e+00,4.623539e+00,4.649121e+00,4.622550e+00,4.650184e+00,4.621306e+00,4.651287e+00,4.618307e+00,4.648297e+00,4.621914e+00,4.646467e+00
Rest of Europe,6.843842e-01,6.839985e-01,2.120205e+00,2.119861e+00,4.427166e-01,4.424581e-01,5.640096e+00,5.720638e+00,5.727361e+00,5.807748e+00,5.695669e+00,5.775924e+00,5.427570e+00,5.502603e+00,3.464150e+00,3.540697e+00,3.487006e+00,3.563194e+00,3.566280e+00,3.639807e+00,3.643060e+00,3.718653e+00,3.716709e+00,3.796997e+00,3.721037e+00,3.801444e+00,3.464754e+00,3.542423e+00
USA,5.483511e-01,5.483606e-01,6.870938e-01,6.871027e-01,5.295341e-01,5.295425e-01,4.445921e+00,4.455967e+00,4.485597e+00,4.496850e+00,4.458330e+00,4.469612e+00,4.330420e+00,4.336004e+00,4.359099e+00,4.364799e+00,4.367665e+00,4.375321e+00,4.407505e+00,4.416064e+00,4.447225e+00,4.457093e+00,4.486952e+00,4.498197e+00,4.459695e+00,4.470965e+00,4.330327e+00,4.336374e+00
Canada,2.236633e+00,2.236685e+00,2.529744e+00,2.529746e+00,2.017140e+00,2.017114e+00,6.234933e+00,6.245595e+00,6.612876e+00,6.624052e+00,6.617166e+00,6.628244e+00,5.327134e+00,5.330009e+00,5.340772e+00,5.343957e+00,5.480958e+00,5.489981e+00,5.859346e+00,5.867849e+00,6.236888e+00,6.246409e+00,6.614073e+00,6.625104e+00,6.618350e+00,6.629281e+00,5.323960e+00,5.329917e+00
Mexico,8.602467e-01,8.602030e-01,9.163564e-01,9.163056e-01,7.185704e-01,7.184079e-01,3.149487e+00,3.216526e+00,3.277874e+00,3.346588e+00,3.260863e+00,3.329745e+00,2.787059e+00,2.841500e+00,2.803997e+00,2.858929e+00,2.895203e+00,2.956920e+00,3.024231e+00,3.085666e+00,3.151517e+00,3.215964e+00,3.277694e+00,3.346008e+00,3.260689e+00,3.329147e+00,2.780203e+00,2.840676e+00
Rest of Central America,1.765452e+00,1.765491e+00,2.388112e+00,2.388006e+00,1.513936e+00,1.513448e+00,4.641517e+00,4.686571e+00,4.850056e+00,4.893721e+00,4.670299e+00,4.710904e+00,4.043514e+00,4.083984e+00,3.930096e+00,3.974625e+00,3.901933e+00,3.944427e+00,4.117723e+00,4.152323e+00,4.321274e+00,4.361448e+00,4.529875e+00,4.570244e+00,4.363138e+00,4.400793e+00,3.720628e+00,3.765867e+00
Brazil,1.090433e+00,1.090659e+00,1.424764e+00,1.424850e+00,8.871402e-01,8.873736e-01,4.032617e+00,4.130673e+00,4.355370e+00,4.459431e+00,4.332264e+00,4.436601e+00,3.188571e+00,3.265345e+00,3.216190e+00,3.292014e+00,3.382883e+00,3.470651e+00,3.702771e+00,3.794837e+00,4.023861e+00,4.121393e+00,4.343776e+00,4.447879e+00,4.320884e+00,4.425212e+00,3.185536e+00,3.263939e+00
Rest of South America,1.923448e+00,1.923501e+00,2.348116e+00,2.348154e+00,1.594485e+00,1.594501e+00,6.372248e+00,6.416516e+00,7.094485e+00,7.139254e+00,6.802559e+00,6.847119e+00,4.286349e+00,4.321222e+00,5.508203e+00,5.543242e+00,5.865850e+00,5.908166e+00,6.751552e+00,6.793595e+00,7.636569e+00,7.679664e+00,8.521193e+00,8.565623e+00,8.187908e+00,8.232130e+00,5.070346e+00,5.108097e+00
