GHG reduction( % ),Scenario 1,Scenario 2,Scenario 3,Scenario 4,Scenario 5,Scenario 6,Scenario 7,Scenario 8,Scenario 9,Scenario 10,Scenario 11,Scenario 12,Scenario 13,Scenario 14,Scenario 15,Scenario 16,Scenario 17,Scenario 18,Scenario 19,Scenario 20,Scenario 21,Scenario 22,Scenario 23,Scenario 24,Scenario 25,Scenario 26,Scenario 27,Scenario 28
France,5.194796e+00,5.215861e+00,4.596651e+00,4.617426e+00,4.285734e+00,4.297904e+00,4.510098e+00,4.531270e+00,4.775460e+00,4.794965e+00,4.944734e+00,4.965789e+00,4.046534e+00,4.058655e+00,5.204422e+00,5.225168e+00,4.605750e+00,4.626350e+00,4.290300e+00,4.302293e+00,4.517985e+00,4.538826e+00,4.784778e+00,4.804087e+00,4.954677e+00,4.975377e+00,4.051230e+00,4.063186e+00
Germany,2.483340e+00,2.488252e+00,2.475894e+00,2.479979e+00,2.487311e+00,2.490972e+00,2.166329e+00,2.171181e+00,1.880645e+00,1.884697e+00,2.381141e+00,2.386147e+00,2.391709e+00,2.395375e+00,2.489383e+00,2.494085e+00,2.481557e+00,2.485524e+00,2.492986e+00,2.496508e+00,2.171122e+00,2.175771e+00,1.886248e+00,1.890153e+00,2.387710e+00,2.392416e+00,2.397770e+00,2.401296e+00
Spain,7.722494e+00,7.771974e+00,6.561636e+00,6.612626e+00,5.661875e+00,5.704320e+00,6.826069e+00,6.875622e+00,7.062959e+00,7.108457e+00,7.647320e+00,7.697002e+00,5.588267e+00,5.630749e+00,7.725711e+00,7.774830e+00,6.565027e+00,6.616045e+00,5.663672e+00,5.706093e+00,6.828337e+00,6.877569e+00,7.066003e+00,7.111150e+00,7.650977e+00,7.700123e+00,5.590212e+00,5.632667e+00
UK,6.807157e+00,6.821582e+00,6.439171e+00,6.453383e+00,6.273380e+00,6.284311e+00,5.579103e+00,5.593657e+00,5.721158e+00,5.734532e+00,6.791251e+00,6.805779e+00,6.260287e+00,6.271286e+00,6.811979e+00,6.826161e+00,6.443866e+00,6.457952e+00,6.276809e+00,6.287619e+00,5.583081e+00,5.597406e+00,5.725817e+00,5.739027e+00,6.796334e+00,6.810585e+00,6.263849e+00,6.274725e+00
Scandinavia,3.621780e+00,3.664384e+00,3.592973e+00,3.634915e+00,3.595093e+00,3.628207e+00,3.377036e+00,3.419871e+00,3.048806e+00,3.087772e+00,3.175927e+00,3.214258e+00,3.175366e+00,3.204173e+00,3.708507e+00,3.750255e+00,3.684829e+00,3.726247e+00,3.692839e+00,3.725506e+00,3.445711e+00,3.487567e+00,3.125127e+00,3.163523e+00,3.256368e+00,3.293729e+00,3.264994e+00,3.293396e+00
Rest of EU,5.192968e+00,5.211503e+00,5.023405e+00,5.039968e+00,4.997227e+00,5.011873e+00,4.594995e+00,4.613501e+00,4.296969e+00,4.314433e+00,5.129600e+00,5.148039e+00,4.943296e+00,4.957857e+00,4.944087e+00,4.962381e+00,4.715901e+00,4.732323e+00,4.670889e+00,4.685373e+00,4.376200e+00,4.394471e+00,4.102288e+00,4.119587e+00,4.897726e+00,4.915925e+00,4.632646e+00,4.647045e+00
Rest of Europe,4.071523e+00,4.170425e+00,4.092841e+00,4.184434e+00,4.114102e+00,4.196926e+00,3.020683e+00,3.119383e+00,3.600084e+00,3.686011e+00,3.972951e+00,4.067330e+00,4.015363e+00,4.098089e+00,2.218362e+00,2.315065e+00,2.206331e+00,2.300959e+00,2.230135e+00,2.311622e+00,1.683074e+00,1.782736e+00,1.938758e+00,2.023261e+00,2.172060e+00,2.268727e+00,2.185908e+00,2.267288e+00
USA,4.283912e+00,4.289141e+00,4.253637e+00,4.258328e+00,4.249198e+00,4.253590e+00,4.073295e+00,4.078524e+00,3.353279e+00,3.358202e+00,4.283760e+00,4.288986e+00,4.249115e+00,4.253506e+00,4.284261e+00,4.289422e+00,4.254215e+00,4.258867e+00,4.249727e+00,4.254073e+00,4.073460e+00,4.078623e+00,3.353595e+00,3.358473e+00,4.284251e+00,4.289410e+00,4.249761e+00,4.254106e+00
Canada,5.072818e+00,5.081398e+00,4.756080e+00,4.764436e+00,4.593419e+00,4.597956e+00,4.410891e+00,4.419896e+00,4.518724e+00,4.526079e+00,4.857712e+00,4.866390e+00,4.429380e+00,4.433902e+00,5.072816e+00,5.081094e+00,4.756169e+00,4.764345e+00,4.593546e+00,4.597916e+00,4.410845e+00,4.419536e+00,4.518713e+00,4.525860e+00,4.857852e+00,4.866115e+00,4.429507e+00,4.433866e+00
Mexico,4.873647e+00,4.900754e+00,4.161952e+00,4.188557e+00,3.514912e+00,3.535246e+00,4.390290e+00,4.417246e+00,4.430166e+00,4.454456e+00,4.777009e+00,4.804462e+00,3.423548e+00,3.444028e+00,4.872331e+00,4.898749e+00,4.161245e+00,4.187427e+00,3.514896e+00,3.534809e+00,4.388988e+00,4.415281e+00,4.428848e+00,4.452676e+00,4.775886e+00,4.802450e+00,3.423531e+00,3.443582e+00
Rest of Central America,5.435271e+00,5.466695e+00,4.514973e+00,4.545532e+00,3.952677e+00,3.966344e+00,4.563159e+00,4.594176e+00,5.102781e+00,5.127100e+00,5.224284e+00,5.255657e+00,3.691360e+00,3.706343e+00,5.616811e+00,5.647018e+00,4.627285e+00,4.657100e+00,3.997931e+00,4.010886e+00,4.736846e+00,4.766699e+00,5.263058e+00,5.288811e+00,5.418216e+00,5.447844e+00,3.750579e+00,3.764597e+00
Brazil,3.022691e+00,3.095719e+00,2.996792e+00,3.069039e+00,2.984073e+00,3.049948e+00,2.476959e+00,2.549859e+00,2.921519e+00,2.990172e+00,2.879410e+00,2.952494e+00,2.841036e+00,2.906923e+00,3.020721e+00,3.092763e+00,2.995639e+00,3.067290e+00,2.983527e+00,3.048852e+00,2.474866e+00,2.546805e+00,2.919562e+00,2.987543e+00,2.877573e+00,2.949631e+00,2.840541e+00,2.905864e+00
Rest of South America,6.377676e+00,6.397333e+00,4.831416e+00,4.850831e+00,3.595918e+00,3.609317e+00,5.695207e+00,5.714800e+00,6.160143e+00,6.178479e+00,6.109380e+00,6.128835e+00,3.282589e+00,3.295786e+00,7.666905e+00,7.686243e+00,5.740517e+00,5.759732e+00,4.167979e+00,4.181187e+00,6.870652e+00,6.889931e+00,7.404270e+00,7.422397e+00,7.367355e+00,7.386479e+00,3.817875e+00,3.830883e+00
